PROJECT NUMBER,BUILDING ID,PROJECT DESCRIPTION,SCHOOL NAME,SCHOOL ADDRESS,SED APPROVED ESTIMATE,DATE APPLICATION SUBMITTED TO SED,BOROUGH,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT (2020),BIN,BBL,NTA (2020)
1FGF,K073,Asbestos  abatement,BROOKLYN ENVIRONMENTAL EXPLORA,251 MACDOUGAL STREET,33944,03/31/2023,BROOKLYN,11233,40.680318,-73.910644,316,37,369,3041561,3015280001,BK1601
1FGG,X132,Asbestos  abatement,P.S. 132 - BRONX,1245 WASHINGTON AVENUE,53808,03/31/2023,BRONX,10456,40.831827,-73.906607,203,16,145,2001619,2023900001,BX0302
1FGH,R053,Asbestos  abatement,P.S. 53 - STATEN ISLAND,330 DURANT AVENUE,151772,03/31/2023,STATEN IS,10308,40.55258,-74.13706,503,51,13203,5065016,5051060001,SI0302
1FGI,K495,Asbestos  abatement,PROFESSIONAL PATHWAYS HIGH SCH,3000 AVENUE X,33510,03/31/2023,BROOKLYN,11235,40.594124,-73.937696,315,46,626,3203631,3074250002,BK1503
1FGJ,K495,Asbestos  abatement,PROFESSIONAL PATHWAYS HIGH SCH,3000 AVENUE X,37819,03/31/2023,BROOKLYN,11235,40.594124,-73.937696,315,46,626,3203631,3074250002,BK1503
1FGK,K035,Asbestos  abatement,I.S. 35 - BROOKLYN,272 MACDONOUGH STREET,162422,03/31/2023,BROOKLYN,11233,40.681904,-73.935895,303,36,273,3047054,3016740011,BK0302
1FGL,R016,Asbestos  abatement,P.S. 16 - STATEN ISLAND,195 DANIEL LOW TERRACE,112804,03/31/2023,STATEN IS,10301,40.63943,-74.080005,501,49,11,5000291,5000180015,SI0101
1FGM,K302,Asbestos  abatement,LIBERTY AVENUE MIDDLE SCHOOL,350 LINWOOD STREET,291473,03/31/2023,BROOKLYN,11208,40.677104,-73.883433,305,37,1170,3088357,3039690001,BK0501
1FGN,K284,Asbestos  abatement,P.S. 284 - BROOKLYN,213 OSBORN STREET,20122,03/31/2023,BROOKLYN,11212,40.667377,-73.908214,316,41,912,3081460,3035440135,BK1602
1FGO,K872,Asbestos  abatement,I.S. 364 - BROOKLYN,1461 GENEVA LOOP,190748,03/31/2023,BROOKLYN,11239,40.646599,-73.878441,305,42,105801,3098300,3044520325,BK0504
1FGP,Q184,"Emergency, Unspecified",P.S. 184 - QUEENS,163-15 21 ROAD,1278594,03/31/2023,QUEENS,11357,40.778095,-73.800163,407,19,1017,4129072,4057560001,QN0703
1FGQ,X790,Gymnasium Upgrade,BRONX LEADERSHIP ACADEMY II HS,730 CONCOURSE VILLAGE WEST,804539,03/31/2023,BRONX,10451,40.82231,-73.923829,204,16,61,2103486,2024430078,BX0401
1FGR,M189,Asbestos  abatement,P.S. 189 - MANHATTAN,2580 AMSTERDAM AVENUE,25015,03/31/2023,MANHATTAN,10040,40.852631,-73.927604,112,10,277,1076750,1021590051,MN1202
1FGT,K255,Asbestos  abatement,P.S. 255 - BROOKLYN,1866 EAST 17 STREET,79225,03/31/2023,BROOKLYN,11229,40.604349,-73.955528,315,48,558,3184034,3068210123,BK1502
1FGU,X002,Asbestos  abatement,BRONX CNTR FOR SCIENCE & MATH,1365 FULTON AVENUE,133177,03/31/2023,BRONX,10456,40.833696,-73.902477,203,16,14701,2009617,2029250056,BX0302
1FGV,K184,Asbestos  abatement,P.S. 184 - BROOKLYN,273 NEWPORT STREET,53352,03/31/2023,BROOKLYN,11212,40.659966,-73.904901,316,41,918,3082391,3036060001,BK1602
1FGW,K263,Asbestos  abatement,P.S./I.S. 323 - BROOKLYN,210 CHESTER STREET,101364,03/31/2023,BROOKLYN,11212,40.666545,-73.910904,316,41,924,3081442,3035420001,BK1602
1FGX,X055,Asbestos  abatement,P.S. 55 - BRONX,450 ST PAULS PLACE,80735,03/31/2023,BRONX,10456,40.836404,-73.905014,203,16,14702,2009463,2029020001,BX0302
1FGY,M501,Asbestos  abatement,THE URBAN ASSEMBLY SCHOOL FOR,2005 MADISON AVENUE,264452,03/31/2023,MANHATTAN,10035,40.807383,-73.939433,111,9,206,1054156,1017520022,MN1102
1FGZ,R007,Asbestos  abatement,I.S. 7 - STATEN ISLAND,1270 HUGUENOT AVENUE,102633,03/31/2023,STATEN IS,10312,40.523757,-74.185941,503,51,198,5082345,5065440001,SI0304
1FH0,M084,Asbestos  abatement,P.S. 84 - MANHATTAN,32 WEST 92 STREET,47054,03/31/2023,MANHATTAN,10025,40.789526,-73.967574,107,6,177,1081042,1012050006,MN0702
1FH1,K206,Asbestos  abatement,P.S. 206 - BROOKLYN,2200 GRAVESEND NECK ROAD,63627,03/31/2023,BROOKLYN,11229,40.597369,-73.948946,315,48,59403,3201080,3073810201,BK1503
1FH2,K197,Asbestos  abatement,P.S. 197 - BROOKLYN,1599 EAST 22 STREET,81907,03/31/2023,BROOKLYN,11210,40.612623,-73.951906,314,48,546,3182169,3067690018,BK1403
1FH3,K104,Asbestos  abatement,P.S. 104 - BROOKLYN,9115 5TH AVENUE,37646,03/31/2023,BROOKLYN,11209,40.618415,-74.028842,310,47,160,3154775,3060880001,BK1001
1FH4,K470,Asbestos  abatement,H.S. 745 - BROOKLYN,600 KINGSTON AVENUE,17983,03/31/2023,BROOKLYN,11203,40.658893,-73.942458,309,40,810,3107227,3048110001,BK0902
1FH5,K128,Asbestos  abatement,P.S. 128 - BROOKLYN,2075 84 STREET,22905,03/31/2023,BROOKLYN,11214,40.604871,-73.995545,311,43,288,3165232,3063290032,BK1101
1FH6,K194,Asbestos  abatement,P.S. 194 - BROOKLYN,3117 AVENUE W,22408,03/31/2023,BROOKLYN,11229,40.596757,-73.933499,315,46,570,3201629,3073930001,BK1503
1FH7,K102,Asbestos  abatement,P.S. 102 - BROOKLYN,211 72 STREET,126327,03/31/2023,BROOKLYN,11209,40.63402,-74.029036,310,47,68,3146491,3058900001,BK1001
1FH8,Q154,"Emergency, Unspecified",P.S. 154 - QUEENS,75-02 162 STREET,842139,03/31/2023,QUEENS,11366,40.726769,-73.806894,408,24,1257,4148003,4068340001,QN0802
1FH9,K288,Asbestos  abatement,P.S. 288 - BROOKLYN,2950 WEST 25 STREET,151085,03/31/2023,BROOKLYN,11224,40.574411,-73.99194,313,47,342,3189538,3070540045,BK1302
1FHA,Q208,"Emergency, Unspecified",P.S./I.S. 208 - QUEENS,74-30 COMMONWEALTH BOULEVARD,2124464,03/31/2023,QUEENS,11426,40.745948,-73.727456,413,23,1567,4529898,4078700070,QN1302
1FHB,K200,Asbestos  abatement,P.S. 200 - BROOKLYN,1940 BENSON AVENUE,60528,03/31/2023,BROOKLYN,11214,40.603188,-74.001408,311,38,282,3167818,3064070008,BK1102
1FHC,X401,Asbestos  abatement,BRONX REGIONAL HS - X,1010 REV. J.A. POLITE AVENUE,29072,03/31/2023,BRONX,10459,40.823532,-73.898872,202,17,12901,2005366,2026980012,BX0202
1FHD,M465,Asbestos  abatement,HS FOR HEALTH CAREER & SCIENCE,549 AUDUBON AVENUE,14643,03/31/2023,MANHATTAN,10040,40.855855,-73.92712,112,10,277,1076751,1021600018,MN1202
1FHE,M017,Asbestos  abatement,P.P.A.S. - MANHATTAN,328 WEST 48 STREET,25056,03/31/2023,MANHATTAN,10036,40.761558,-73.988275,104,3,127,1025092,1010380014,MN0402
1FHF,K259,Asbestos  abatement,I.S. 259 - BROOKLYN,7305 FORT HAMILTON PARKWAY,20122,03/31/2023,BROOKLYN,11228,40.62668,-74.01512,310,38,206,3148031,3059230001,BK1002
