School_Year,OPT Code,Total Field Trips,Total Vehicles,Total Passengers,Unique Destinations
2022-2023,11545,6,9,271,5
2022-2023,21209,20,50,1745,13
2022-2023,31464,615,657,7358,16
2022-2023,19953,2,6,199,2
2022-2023,09170,17,21,537,8
2022-2023,22350,2,4,167,2
2022-2023,02503,4,4,107,4
2022-2023,07697,159,159,1106,10
2022-2023,27104,46,69,2148,17
2022-2023,30724,11,12,446,10
2022-2023,22781,5,20,703,4
2022-2023,10488,3,6,96,3
2022-2023,15460,7,31,645,6
2022-2023,29408,4,5,175,4
2022-2023,08062,23,40,1054,12
2022-2023,30442,26,38,769,12
2022-2023,02751,7,12,379,5
2022-2023,03009,24,41,1385,10
2022-2023,28896,1,1,33,1
2022-2023,11566,10,18,623,10
2022-2023,02785,4,7,226,4
2022-2023,15169,52,75,2353,22
2022-2023,10541,5,13,460,4
2022-2023,22052,33,52,1730,22
2022-2023,09070,59,67,1549,27
2022-2023,05161,21,29,893,11
2022-2023,20868,1,1,36,1
2022-2023,27776,14,23,824,4
2022-2023,08570,2,2,58,2
2022-2023,20104,13,30,1037,11
2022-2023,13313,4,7,161,4
2022-2023,20247,85,224,8327,29
2022-2023,27056,9,21,658,8
2022-2023,08014,13,31,965,7
2022-2023,28312,27,38,1009,9
2022-2023,09593,12,18,441,8
2022-2023,08800,1,1,14,1
2022-2023,19657,12,21,612,10
2022-2023,04565,3,10,348,2
2022-2023,22721,12,29,1109,7
2022-2023,20025,1,2,68,1
2022-2023,19013,26,50,1367,14
2022-2023,16035,17,26,928,14
2022-2023,15889,17,34,991,9
2022-2023,22236,51,60,1794,21
2022-2023,21789,4,19,754,4
2022-2023,02880,26,26,465,3
2022-2023,02217,13,33,1226,12
2022-2023,31415,43,94,765,13
2022-2023,22001,5,13,368,4
2022-2023,31545,16,33,1101,14
2022-2023,26503,9,14,280,8
2022-2023,11415,3,6,177,3
2022-2023,05014,1,1,13,1
2022-2023,21770,6,18,676,5
2022-2023,13508,10,28,1010,4
2022-2023,19422,10,17,418,9
2022-2023,17705,89,106,2738,16
2022-2023,30008,23,30,529,12
2022-2023,10539,11,14,442,9
2022-2023,15937,17,62,2380,9
2022-2023,10246,81,119,4079,18
2022-2023,27333,16,32,1113,10
2022-2023,28818,7,9,225,5
2022-2023,22851,5,5,153,3
2022-2023,13811,3,3,100,2
2022-2023,22315,61,76,2330,25
2022-2023,03517,16,31,1043,7
2022-2023,01022,1,1,15,1
2022-2023,24007,64,143,4252,23
2022-2023,15039,13,22,746,5
2022-2023,18115,88,156,4790,19
2022-2023,09365,14,33,1219,13
2022-2023,06210,9,26,912,8
2022-2023,18233,26,55,1867,21
2022-2023,13044,8,11,284,7
2022-2023,02135,2,2,56,2
2022-2023,28310,19,37,1171,17
2022-2023,08119,45,72,2565,12
2022-2023,08333,182,360,10807,11
2022-2023,20176,30,61,1596,19
2022-2023,06048,7,21,193,6
2022-2023,02006,20,20,668,6
2022-2023,15411,5,11,340,3
2022-2023,30751,13,25,874,11
2022-2023,07015,7,27,995,5
2022-2023,02398,20,30,971,11
