SchoolDBN,Total # Consented Students YTD,Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian or Pacific Islander,"Hispanic, of any race",Black or African American,Two or More Races,White,Missing Race/Ethnicity,IEP,LEP,Shelter,STH; Not Shelter,Total # Consents Withdrawn,Grade 01 1,Grade 02 1,Grade 03 1,Grade 04 1,Grade 05 1,Grade 06 1,Grade 07 1,Grade 08 1,Grade 09 1,Grade 10 1,Grade 11 1,Grade 12 1,American Indian or Alaska Native 1,Asian or Pacific Islander 1,"Hispanic, of any race 1",Black or African American 1,Two or More Races 1,White 1,Missing Race/Ethnicity 1,IEP 1,LEP 1,Shelter 1,STH; Not Shelter 1
07X049,242,42,49,43,47,61,,,,,,,,S,S,178,56,S,S,S,71,44,17,20,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
07X065,169,23,32,T,T,34,,,,,,,,S,S,107,55,,T,,47,28,32,18,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
07X154,169,33,T,T,T,38,,,,,,,,S,S,103,61,S,S,,46,27,T,10,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
07X157,219,42,53,52,34,38,,,,,,,,S,S,143,57,S,S,,61,15,S,11,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
07X161,161,30,37,30,37,27,,,,,,,,S,S,125,29,S,S,,61,17,10,11,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
07X179,124,21,T,T,30,35,,,,,,,,,,99,S,S,S,,27,29,8,10,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
07X221,431,,,,,,68,T,46,T,64,56,42,S,S,314,102,S,T,,94,39,8,49,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
07X223,261,,,,,,45,45,35,32,27,29,48,S,S,211,42,S,S,S,33,12,12,25,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
07X224,144,,,,,,43,49,52,,,,,S,S,103,36,S,S,,45,24,18,12,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
07X259,171,,,,,,,,,67,49,33,22,S,S,107,56,S,S,S,42,26,9,20,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
07X277,139,31,23,21,24,40,,,,,,,,S,S,92,38,S,S,,33,29,S,13,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
07X296,113,,,,,,32,47,34,,,,,S,,73,34,,S,,46,9,14,12,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
07X298,68,,,,,,32,21,15,,,,,,S,57,S,,,,23,23,S,13,S,,,,,,S,S,S,,,,,,,S,S,,,,S,S,S,S
07X334,116,,,,,,,,,32,25,30,29,S,S,95,16,,S,,9,108,11,23,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
07X343,175,,,,,,58,59,58,,,,,S,S,116,52,,S,,41,17,T,19,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
07X359,119,20,T,20,T,22,,,,,,,,,S,76,S,S,S,,25,16,S,10,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
07X369,107,T,21,T,21,16,,,,,,,,,,85,18,S,S,,40,33,12,17,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
07X379,55,,,,,,,,,9,15,13,18,S,S,36,17,S,S,,26,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
07X381,43,,,,,,,,,S,S,21,9,S,S,30,S,,,,19,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,,,,S,S,S,S
07X427,76,,,,,,,,,18,23,18,17,S,,47,27,,S,S,18,14,7,12,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
07X473,135,,,,,,,,,39,33,34,29,,S,95,S,S,,,41,24,T,T,S,,,,,,,,,S,S,S,S,,,S,S,S,,,S,S,S,S
07X495,194,,,,,,,,,92,52,25,25,S,12,116,51,S,6,S,42,8,S,10,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
07X500,58,,,,,,24,10,9,6,6,S,S,S,S,41,S,,S,S,11,S,S,S,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
07X522,106,,,,,,,,,38,27,11,30,S,S,79,27,S,S,,43,15,S,9,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
07X527,124,,,,,,,,,56,37,24,7,S,S,79,42,,S,,35,17,6,12,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
07X548,103,,,,,,,,,37,32,13,21,S,S,73,27,S,S,S,29,10,7,10,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
07X551,97,,,,,,38,20,S,21,9,S,S,S,S,55,36,,S,,31,15,S,12,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,,S,,S,S,S,S
07X557,147,,,,,,,,,,93,35,19,S,S,86,55,,S,,61,20,6,7,S,,,,,,,,,,S,S,S,S,S,S,S,,S,,S,S,S,S
07X584,150,,,,,,48,54,48,,,,,S,S,109,37,,,,47,31,18,19,S,,,,,,S,S,S,,,,,S,S,S,S,,,,S,S,S,S
07X600,170,,,,,,,,,50,50,38,32,S,S,116,48,S,S,S,67,25,6,15,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
07X625,29,,,,,,,,,19,10,,,S,,14,12,,S,S,S,S,S,S,S,,,,,,,,,S,S,,,S,S,S,S,,S,S,S,S,S,S
07X670,62,,,,,,,,,20,17,15,10,S,S,36,24,S,,,15,10,S,8,S,,,,,,,,,S,S,S,S,S,S,S,S,S,,,S,S,S,S
08X014,234,56,53,42,40,43,,,,,,,,S,29,140,12,S,48,,45,34,S,16,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
08X036,487,96,86,97,94,114,,,,,,,,T,179,228,43,S,22,,87,86,S,31,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
08X048,166,24,27,34,36,45,,,,,,,,S,S,130,33,S,S,S,44,52,14,15,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
08X062,315,53,59,66,61,76,,,,,,,,S,,261,44,S,T,,94,69,19,13,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
08X069,292,59,66,49,56,62,,,,,,,,S,13,214,52,S,8,S,59,68,T,19,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
08X071,572,80,68,77,82,87,67,60,51,,,,,S,67,352,27,T,114,,100,77,S,11,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
08X072,247,49,47,35,53,63,,,,,,,,S,20,171,44,S,S,S,81,28,13,11,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
08X075,287,53,54,54,65,61,,,,,,,,S,S,223,49,S,S,S,74,66,13,20,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
08X093,120,14,29,24,23,30,,,,,,,,S,S,62,54,,S,,21,T,6,8,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
08X100,251,30,52,49,50,70,,,,,,,,S,T,184,49,S,S,,73,25,6,26,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
08X101,313,,,,,,113,88,112,,,,,S,36,195,28,S,47,S,72,S,S,18,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
08X107,242,36,44,44,51,67,,,,,,,,S,S,164,72,S,S,S,78,37,15,11,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
08X119,318,48,62,67,57,84,,,,,,,,19,98,162,20,S,S,,41,100,S,7,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
08X123,387,,,,,,155,139,93,,,,,T,14,298,65,,S,,103,113,20,50,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
08X130,138,26,24,36,32,20,,,,,,,,S,S,118,17,,S,,34,36,6,21,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
08X131,196,,,,,,75,56,65,,,,,S,13,128,44,S,T,,53,31,6,13,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
08X138,253,45,43,37,68,60,,,,,,,,S,6,188,50,S,S,S,75,22,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
08X140,224,41,37,56,41,49,,,,,,,,S,S,147,71,S,S,,56,28,16,27,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
08X146,93,15,12,18,19,29,,,,,,,,S,S,62,23,S,S,,25,23,9,11,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
08X152,409,68,77,77,87,100,,,,,,,,S,S,349,44,S,T,,78,159,21,53,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
08X182,166,19,27,36,39,45,,,,,,,,S,10,114,33,S,6,,28,16,8,6,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
08X269,215,,,,,,52,48,54,28,12,9,12,,S,168,40,,S,,50,27,12,10,S,,,,,,S,S,S,S,S,S,S,,,S,S,,S,,S,S,S,S
08X282,92,,,,,,,,,25,18,27,22,S,14,34,30,S,11,S,16,17,S,7,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
08X293,178,,,,,,,,,55,66,32,25,S,S,132,34,S,9,S,37,10,S,8,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
08X301,107,,,,,,38,43,26,,,,,S,,64,39,S,,,34,14,T,12,S,,,,,,S,S,S,,,,,S,S,S,S,S,,,S,S,S,S
08X302,176,,,,,,66,50,60,,,,,S,S,147,24,S,S,,52,31,9,23,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
08X304,115,29,15,26,18,27,,,,,,,,S,S,94,7,S,8,,23,6,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
08X312,74,,,,,,,,,30,10,8,26,S,S,61,S,S,S,S,17,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
08X320,151,,,,,,,,,56,31,30,34,T,12,85,32,S,12,,38,20,S,T,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
08X333,194,43,41,30,34,46,,,,,,,,S,S,137,47,S,T,S,51,46,16,25,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
08X337,306,,,,,,109,107,90,,,,,S,T,241,43,S,S,,62,51,S,26,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
08X348,107,,,,,,,,,28,28,34,17,S,8,62,25,S,10,,22,25,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
08X349,123,,,,,,,,,33,33,29,28,S,S,70,39,,7,S,39,6,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
08X367,142,,,,,,40,S,27,27,18,13,S,S,S,84,41,S,S,,33,14,S,S,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
08X371,161,,,,,,73,45,43,,,,,S,11,114,15,S,19,S,34,11,S,9,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
08X375,134,,,,,,58,41,35,,,,,S,T,78,41,,T,,46,T,S,T,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
08X376,181,,,,,,33,26,34,27,17,31,13,S,8,129,37,S,S,,53,27,S,15,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
08X392,181,36,38,39,39,29,,,,,,,,S,12,114,29,S,23,S,42,9,S,11,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
08X405,137,,,,,,,,,48,44,30,15,S,10,71,35,S,14,S,37,15,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
08X424,104,,,,,,64,27,13,,,,,,S,83,S,,S,,31,37,15,14,S,,,,,,S,S,S,,,,,,,S,S,,S,,S,S,S,S
08X432,219,,,,,,,,,58,62,53,46,S,25,162,24,S,S,S,32,178,9,30,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
08X448,103,,,,,,44,33,26,,,,,S,S,76,S,S,S,,31,9,S,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
08X452,110,,,,,,,,,29,33,24,24,S,S,69,36,,S,,29,19,S,10,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
08X467,109,,,,,,19,49,41,,,,,S,10,69,21,,9,,26,11,S,12,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
08X530,129,,,,,,,,,49,26,23,31,S,S,95,S,,S,S,41,23,T,T,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
08X537,48,,,,,,,,,S,S,16,16,S,S,27,18,S,S,,13,S,T,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
08X558,59,,,,,,,,,34,12,S,S,S,9,29,15,S,S,S,11,9,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
08X561,83,,,,,,,,,50,15,10,8,S,S,54,20,,S,,20,8,S,6,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
08X562,201,,,,,,83,60,58,,,,,S,59,97,29,S,9,,43,37,S,15,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
08X583,121,47,30,18,26,,,,,,,,,S,45,58,9,S,S,,23,19,S,11,S,S,S,S,S,,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X004,130,17,16,18,15,17,21,16,10,,,,,S,S,70,57,S,S,,45,25,21,7,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
09X011,241,50,44,49,58,40,,,,,,,,S,S,173,60,,S,,57,73,30,30,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
09X022,202,,,,,,92,54,56,,,,,,S,154,41,S,S,,47,81,18,34,S,,,,,,S,S,S,,,,,,,S,S,S,S,,S,S,S,S
09X028,292,58,60,57,56,61,,,,,,,,S,S,231,53,S,S,,87,95,24,35,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X035,126,7,13,24,36,46,,,,,,,,S,S,95,25,S,S,S,44,31,8,7,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
09X042,127,18,32,19,32,26,,,,,,,,,S,80,43,S,S,,39,23,11,S,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
09X053,309,69,56,53,61,70,,,,,,,,S,S,232,68,S,S,,54,136,24,25,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X055,137,27,28,36,29,17,,,,,,,,S,,80,54,,S,,37,11,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
09X058,136,14,21,35,20,46,,,,,,,,S,S,107,24,,S,,39,53,14,16,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
09X063,143,28,36,33,21,25,,,,,,,,S,S,100,35,S,S,S,35,38,7,16,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
09X070,608,97,108,125,127,151,,,,,,,,S,S,466,130,,S,,142,190,30,113,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
09X073,148,13,26,34,39,36,,,,,,,,,,112,S,,S,,38,38,10,9,S,S,S,S,S,S,,,,,,,,,,S,S,,S,,S,S,S,S
09X088,58,T,T,T,,,,,,,,,,,,44,14,S,,,9,10,S,T,S,S,S,S,,,,,,,,,,,,S,S,S,,,S,S,S,S
09X109,154,34,29,34,32,25,,,,,,,,S,S,128,24,S,S,,45,36,6,29,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X110,197,36,38,40,46,37,,,,,,,,S,,126,56,S,13,,49,28,24,19,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X114,255,20,37,54,66,78,,,,,,,,S,10,193,44,S,S,,76,76,23,56,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X117,219,,,,,,62,68,89,,,,,S,S,173,43,S,S,,50,72,15,31,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
09X126,249,46,66,44,44,49,,,,,,,,S,S,188,56,S,S,,44,96,20,15,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X128,190,,,,,,61,58,71,,,,,S,,118,66,,S,,43,22,S,16,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
09X132,122,23,19,27,29,24,,,,,,,,S,,58,58,S,S,,44,24,14,11,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X163,191,T,30,38,T,37,,,,,,,,S,,115,71,S,S,,55,58,T,12,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X170,90,T,T,,,,,,,,,,,,S,74,S,S,S,S,12,21,S,10,S,S,S,,,,,,,,,,,,,S,S,S,S,S,S,S,S,S
09X199,247,34,22,62,63,66,,,,,,,,10,T,159,69,S,S,,82,69,29,43,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X204,304,49,68,43,74,70,,,,,,,,S,S,222,73,,S,S,79,55,S,42,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,S,S,S,S,S
09X215,138,,,,,,41,41,56,,,,,S,S,52,82,S,,,32,20,S,16,S,,,,,,S,S,S,,,,,S,S,S,S,S,,,S,S,S,S
09X218,723,T,T,93,T,T,101,93,79,,,,,S,T,662,23,,T,T,130,155,S,77,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,,S,S,S,S,S,S
09X219,136,,,,,,45,28,63,,,,,S,,91,41,S,S,,51,49,16,27,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
09X227,40,,,,,,,,,11,12,7,10,S,S,27,13,S,S,S,6,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
09X229,136,,,,,,52,37,47,,,,,,S,85,48,,S,,57,17,9,15,S,,,,,,S,S,S,,,,,,,S,S,,S,,S,S,S,S
09X231,200,,,,,,26,33,42,39,23,26,11,S,S,86,106,S,S,S,60,7,6,16,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
09X232,173,,,,,,77,56,40,,,,,,S,145,25,,S,,48,70,19,44,S,,,,,,S,S,S,,,,,,,S,S,,S,,S,S,S,S
09X236,173,T,T,T,T,T,,,,,,,,,S,131,38,S,S,,54,25,T,T,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
09X241,221,,,,,,63,27,13,60,23,19,16,S,S,165,53,S,S,,55,28,9,15,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
09X250,90,,,,,,,,,34,22,14,20,S,S,57,31,,S,,18,7,S,7,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
09X252,102,,,,,,,,,35,31,19,17,S,S,77,23,S,S,S,30,13,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
09X260,175,,,,,,,,,74,65,22,14,S,8,116,42,S,S,S,31,11,S,T,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
09X263,114,,,,,,,,,53,20,19,22,,S,63,49,S,,S,30,20,S,13,S,,,,,,,,,S,S,S,S,,,S,S,S,,S,S,S,S,S
09X274,230,29,49,57,49,46,,,,,,,,S,S,137,88,,S,,73,25,29,29,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
09X294,221,38,37,43,49,54,,,,,,,,S,S,184,31,S,S,,68,39,18,42,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X297,108,,,,,,,,,41,28,17,22,S,S,84,21,,S,,27,9,S,10,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
09X303,253,,,,,,76,97,80,,,,,S,,176,S,,,,71,T,T,38,S,,,,,,S,S,S,,,,,S,S,S,S,,,,S,S,S,S
09X311,144,24,17,47,23,33,,,,,,,,,,133,S,S,S,,26,60,9,41,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
09X313,144,,,,,,44,45,55,,,,,,,103,S,S,S,,36,54,T,17,S,,,,,,S,S,S,,,,,,,S,S,S,S,,S,S,S,S
09X323,145,,,,,,67,44,34,,,,,S,S,97,42,,S,,34,44,12,19,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
09X324,78,,,,,,20,10,13,14,10,11,S,,S,56,18,S,S,S,24,6,S,10,S,,,,,,S,S,S,S,S,S,S,,,S,S,S,S,S,S,S,S,S
09X327,108,,,,,,13,23,11,22,18,13,8,,S,91,14,S,S,,28,9,S,12,S,,,,,,S,S,S,S,S,S,S,,,S,S,S,S,,S,S,S,S
09X328,96,,,,,,31,31,34,,,,,S,S,62,31,,S,,36,17,12,12,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
09X329,156,,,,,,,,,39,46,44,27,S,S,114,S,,S,,46,38,8,18,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
09X339,153,,,,,,31,32,90,,,,,,,101,S,,S,,45,41,12,15,S,,,,,,S,S,S,,,,,,,S,S,,S,,S,S,S,S
09X350,89,,,,,,,,,T,20,15,T,S,S,52,31,,S,,14,52,8,T,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
09X361,200,,,,,,83,74,43,,,,,,,160,S,,S,S,43,56,9,31,S,,,,,,S,S,S,,,,,,,S,S,,S,S,S,S,S,S
09X365,363,,,,,,,,,T,T,85,T,,,363,,,,,T,331,T,T,S,,,,,,,,,S,S,S,S,,,S,,,,,S,S,S,S
09X403,189,,,,,,,,,58,30,47,54,S,T,139,35,,S,,S,169,14,38,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
09X404,34,,,,,,,,,S,S,8,13,S,S,22,S,,S,,9,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
09X412,122,,,,,,,,,48,47,21,6,,S,85,S,,S,,29,41,S,16,S,,,,,,,,,S,S,S,S,,,S,S,,S,,S,S,S,S
09X413,136,,,,,,20,14,7,35,23,21,16,S,S,95,34,,S,S,34,19,8,10,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
09X443,200,30,37,41,46,46,,,,,,,,S,S,145,49,,S,,61,66,S,32,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
09X449,193,T,34,T,28,41,,,,,,,,T,S,129,44,S,T,,73,53,14,16,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X454,257,,,,,,78,78,101,,,,,S,T,177,63,,S,,60,39,13,33,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
09X457,235,44,40,52,T,T,,,,,,,,S,S,161,64,S,S,,63,66,11,41,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X505,262,,,,,,54,38,23,42,38,48,19,S,S,200,53,S,S,,73,45,8,29,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
09X517,70,,,,,,,,,21,14,19,16,S,S,39,S,,S,S,19,14,S,10,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
09X525,19,,,,,,,,,7,S,7,S,S,S,13,S,S,S,,7,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
09X543,37,,,,,,,,,17,8,S,S,S,,26,S,S,S,,17,8,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
09X555,213,32,49,43,38,51,,,,,,,,S,S,173,33,S,S,,39,47,S,27,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
09X564,240,,,,,,,,,94,42,48,56,S,S,195,36,S,S,,20,214,23,72,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
09X568,200,,,,,,42,44,36,30,25,12,11,S,8,139,46,S,S,S,29,17,7,16,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
09X593,91,,,,,,41,29,21,,,,,,S,74,15,,S,,11,72,S,40,S,,,,,,S,S,S,,,,,,,S,S,,S,,S,S,S,S
09X594,78,,,,,,31,20,27,,,,,S,,44,29,,S,,19,28,11,S,S,,,,,,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
10X003,131,21,T,17,T,12,12,12,10,,,,,,S,98,S,,S,,36,27,S,S,S,S,S,S,S,S,S,S,S,,,,,,,S,S,,S,,S,S,S,S
10X007,254,43,41,60,52,58,,,,,,,,S,18,194,16,S,22,S,29,45,S,31,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
10X008,347,76,74,65,76,56,,,,,,,,S,25,283,16,S,18,S,83,97,S,48,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
10X009,349,59,57,69,79,85,,,,,,,,S,T,289,43,S,S,,86,124,24,54,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
10X015,148,20,18,21,21,18,24,20,6,,,,,S,S,124,17,S,S,,43,37,S,15,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
10X020,668,77,T,T,T,T,117,102,93,,,,,T,45,502,75,S,T,S,170,185,T,112,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
10X023,215,45,44,38,55,33,,,,,,,,S,S,153,57,,S,,69,48,26,15,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
10X024,262,77,55,41,53,36,,,,,,,,S,21,108,17,S,101,S,26,10,,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,,S
10X032,350,58,54,73,79,86,,,,,,,,S,S,283,53,S,7,,88,75,16,40,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
10X033,532,88,106,T,99,T,,,,,,,,T,S,473,46,S,S,S,113,165,14,48,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
10X037,295,34,48,46,41,29,24,30,43,,,,,S,S,243,41,S,S,S,93,44,6,47,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
10X045,275,,,,,,61,111,103,,,,,S,S,228,36,S,S,,53,66,7,22,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
10X046,393,65,91,73,77,87,,,,,,,,S,S,343,39,S,S,,69,160,7,50,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
10X051,56,14,T,9,S,14,,,,,,,,S,S,40,11,,S,,9,S,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,,S,,S,S,S,S
