SchoolDBN,Total # Consented Students YTD,Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian or Pacific Islander,"Hispanic, of any race",Black or African American,Two or More Races,White,Missing Race/Ethnicity,IEP,LEP,Shelter,STH; Not Shelter,Total # Consents Withdrawn,Grade 01 1,Grade 02 1,Grade 03 1,Grade 04 1,Grade 05 1,Grade 06 1,Grade 07 1,Grade 08 1,Grade 09 1,Grade 10 1,Grade 11 1,Grade 12 1,American Indian or Alaska Native 1,Asian or Pacific Islander 1,"Hispanic, of any race 1",Black or African American 1,Two or More Races 1,White 1,Missing Race/Ethnicity 1,IEP 1,LEP 1,Shelter 1,STH; Not Shelter 1
02M114,394,,,,,,135,123,136,,,,,S,T,T,T,T,207,T,78,S,,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,,S
02M116,216,33,41,32,52,58,,,,,,,,S,51,49,10,14,92,,42,28,10,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
02M124,411,T,T,78,T,T,,,,,,,,,375,6,S,21,9,,59,101,S,S,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
02M126,466,T,T,T,T,46,93,83,94,,,,,S,308,81,35,T,T,S,100,53,S,83,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
02M130,466,97,80,96,106,87,,,,,,,,S,409,22,S,20,T,,75,86,S,,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,
02M131,128,,,,,,31,46,51,,,,,,86,26,S,,S,,37,37,S,12,S,,,,,,S,S,S,,,,,,,S,S,,S,,S,S,S,S
02M135,155,,,,,,,,,52,45,30,28,S,T,98,37,S,S,S,35,T,6,11,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M139,218,,,,,,,,,66,54,51,47,S,10,142,44,S,T,S,56,18,T,11,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M150,73,T,14,15,11,T,,,,,,,,S,19,11,S,9,31,,T,S,,,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,,
02M151,206,42,38,41,42,43,,,,,,,,,21,53,15,S,102,S,44,11,S,S,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,S,S,S,S,S
02M158,379,91,81,75,71,61,,,,,,,,S,55,31,S,30,255,,58,28,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
02M167,491,,,,,,202,142,147,,,,,S,96,57,10,30,292,6,60,10,S,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
02M177,104,,,,,,41,44,19,,,,,S,11,13,S,T,64,S,26,S,,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,S,S,S,,S
02M183,255,56,54,44,53,48,,,,,,,,S,35,18,S,18,178,,33,16,,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,,S
02M198,241,56,65,51,34,35,,,,,,,,S,36,66,S,18,105,S,53,20,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
02M212,166,32,33,32,30,39,,,,,,,,,25,48,10,12,71,,20,S,S,S,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
02M217,483,83,97,78,78,T,26,T,T,,,,,S,154,81,48,S,171,,65,92,S,S,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
02M225,201,T,T,24,28,T,16,16,16,,,,,T,16,57,22,18,T,,53,S,S,S,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
02M234,253,46,64,47,49,47,,,,,,,,S,22,29,S,23,174,S,36,S,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
02M255,204,,,,,,78,69,57,,,,,S,58,23,S,16,103,,34,S,S,S,S,,,,,,S,S,S,,,,,S,S,S,S,S,S,,S,S,S,S
02M260,361,,,,,,53,50,51,49,62,54,42,S,48,38,S,26,230,12,57,S,,S,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,S
02M267,227,46,43,T,T,43,,,,,,,,,34,26,S,S,154,,35,7,,S,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,,S
02M276,335,34,44,33,38,45,50,43,48,,,,,,74,41,S,32,179,S,65,8,S,S,S,S,S,S,S,S,S,S,S,,,,,,,S,S,S,S,S,S,S,S,S
02M280,41,,,,,,,,,16,15,S,S,S,S,22,11,S,S,S,8,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M281,290,71,T,T,T,T,,,,,,,,S,82,43,23,T,124,S,47,49,S,T,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
02M282,321,,,,,,,,,109,79,72,61,S,22,131,109,T,48,S,72,12,6,16,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
